번호,정류소명,첫차,막차
1,강서공영차고지,05:00,21:00
2,우진목재,05:03,21:03
3,녹산하수처리장,05:05,21:05
4,신호하수처리장,05:07,21:06
5,르노자동차정문,05:08,21:07
6,르노자동차남문,05:09,21:08
7,신호대교,05:11,21:09
8,퀸덤1.2단지,05:12,21:10
9,명호초등학교,05:13,21:12
10,두산위브,05:14,21:13
11,한신휴플러스아파트,05:15,21:14
12,엘크루블루오션,05:17,21:15
13,엘크루블루오션6단지,05:18,21:17
14,명지철새탐조대,05:19,21:18
15,행복마을,05:21,21:20
16,명원초등학교,05:23,21:21
17,명지환승센터,05:25,21:22
18,지법서부지원.지검서부지청,05:26,21:25
19,더샵퍼스트월드·강서세무서,05:26,21:26
20,명지1동 행정복지센터,05:28,21:27
21,한국토지주택공사,05:30,21:28
22,중흥프라디움,05:32,21:30
23,금강펜터리움1차,05:33,21:31
24,호반베르디움2차.금강펜테리움2차,05:34,21:33
25,명지국제신도시입구,05:36,21:34
26,명지초교.명지중학교,05:38,21:36
27,명지새동네,05:41,21:38
28,부산현대미술관,05:44,21:41
29,을숙도문화회관,05:45,21:42
30,하단역환승센터,05:47,21:44
31,하단교차로,05:49,21:47
32,에덴공원,05:50,21:49
33,동아대입구,05:52,21:51
34,을숙도초등학교,05:53,21:52
35,하단SK뷰아파트앞,,
36,엄궁한신1차아파트,05:54,21:53
37,엄궁동주민센터,05:55,21:54
38,엄궁시장,05:56,21:55
39,엄궁사거리,05:58,21:56
40,엄궁럭키아파트,05:59,21:58
41,엄궁중학교,06:00,21:59
42,반도보라아파트,06:02,22:00
43,학장중학교,06:03,22:01
44,학장교,06:04,22:02
45,학장교차로,06:05,22:03
46,동양아파트,06:06,22:04
47,다누림센터·부산구치소,06:07,22:05
48,주례사거리,06:08,22:06
49,주감초등학교,06:10,22:07
50,백양마을,06:11,22:10
51,주감중학교,06:12,22:11
52,사상근린공원,06:13,22:12
53,능인사,06:14,22:13
54,신라대학교입구,06:16,22:14
55,한전북부산지점,06:18,22:15
56,신라대학교,06:20,22:16
57,덕포청구아파트,06:22,22:17
58,신라대학교입구,07:23,23:14
59,능인사,07:25,23:16
60,사상근린공원,07:26,23:17
61,사상종합복지관,07:27,23:18
62,백양마을,07:30,23:19
63,주감초등학교,07:31,23:20
64,주례사거리,07:35,23:23
65,다누림센터·부산구치소,07:38,23:24
66,학장,07:40,23:25
67,학장교차로,07:42,23:26
68,학장교,07:44,23:28
69,학장중학교,07:45,23:29
70,반도보라아파트,07:46,23:30
71,엄궁중학교,07:48,23:30
72,엄궁럭키아파트,07:50,23:31
73,엄궁삼거리,07:51,23:32
74,엄궁동주민센터,07:52,23:33
75,엄궁한신1차아파트,07:54,23:35
76,하단SK뷰아파트앞,07:56,23:36
77,동아대입구,07:58,23:38
78,에덴공원,08:01,23:40
79,하단교차로,08:04,23:41
80,하단역환승센터,08:06,23:43
81,을숙도문화회관,08:08,23:44
82,부산현대미술관,08:10,23:46
83,명지시장,08:13,23:47
84,명지새동네,08:15,23:48
85,명지초교.명지중학교,08:16,23:50
86,명지국제신도시입구,08:18,23:52
87,호반베르디움2차.금강펜테리움2차,08:20,23:54
88,금강펜터리움1차,08:21,23:55
89,중흥프라디움,08:23,23:56
90,한국토지주택공사,08:24,23:58
91,명지1동 행정복지센터,08:25,00:00
92,더샵퍼스트월드·강서세무서,08:27,00:02
93,지법서부지원.지검서부지청,08:30,00:04
94,명지환승센터,08:31,00:06
95,명원초등학교,08:33,00:07
96,행복마을,08:36,00:10
97,명지철새탐조대,08:38,00:11
98,엘크루블루오션4단지,08:39,00:13
99,롯데캐슬아파트,08:41,00:14
100,극동스타클래스,08:42,00:16
101,두산위브,08:43,02:17
102,명호초등학교,08:45,00:18
103,퀸덤1.2단지,08:46,00:19
104,신호대교,08:47,00:20
105,르노자동차남문,08:49,00:22
106,르노자동차정문,08:52,00:25
107,신호하수처리장,08:54,00:26
108,녹산하수처리장,08:56,00:27
109,우진목재,08:59,00:30
110,강서공영차고지,09:04,00:34
