번호,정류소명,첫차,막차
1,민락동차고지,05:00,22:50
2,민락동골목시장,05:02,22:53
3,광안농협앞,05:03,22:54
4,광안리해수욕장,05:04,22:56
5,광안리입구,05:05,22:56
6,수영중학교,05:06,22:58
7,금련산역,05:07,22:59
8,금련산청소년수련원,05:08,23:00
9,대남교차로.남천역,05:10,23:03
10,경성대.부경대역,05:12,23:04
11,경성대학교,05:13,23:06
12,대연역,05:14,23:07
13,못골시장,05:16,23:08
14,남구청.못골역,05:17,23:09
15,대연고개,05:18,23:10
16,지게골역,05:19,23:10
17,문현교차로,05:20,23:12
18,부산진성공원,05:22,23:14
19,범일역,05:24,23:16
20,중앙시장,05:26,23:17
21,범내골역,05:29,23:19
22,서면한전,05:30,23:20
23,서면역.서면지하상가,05:31,23:20
24,서면역.롯데호텔백화점,05:34,23:23
25,부산진경찰서,05:35,23:24
26,부전시장,05:36,23:25
27,동해선부전역,05:37,23:26
28,부전역,05:38,23:27
29,부전시장,05:39,23:28
30,서면역.서면지하상가,05:41,23:30
31,서면한전,05:42,23:30
32,범내골역,05:44,23:32
33,중앙시장,05:45,23:34
34,범일동국민은행,05:48,23:36
35,문현교차로,05:51,23:39
36,지게골역,05:52,23:40
37,대연고개,05:53,23:41
38,남구청.못골역,05:54,23:42
39,못골시장,05:55,23:43
40,대연역,05:57,23:45
41,경성대.부경대역,05:59,23:46
42,남천역,06:01,23:48
43,금련산청소년수련원,06:03,23:50
44,금련산역,06:04,23:51
45,광안2동우편취급국,06:05,23:52
46,수영중학교,06:05,23:53
47,광안리입구,06:06,23:54
48,광안리해수욕장,06:08,23:56
49,동방시장,06:09,23:57
50,민락동골목시장,06:09,23:58
51,(구)MBC방송국,06:10,23:59
52,민락동차고지,06:11,24:00
